speaker,job_title,utterance,call_date,financial_quarter,source_file,ex_dummy,category,question,answer
Alastair Ryan,Bank of America Merrill Lynch,"Yes. Thank you. It's Alastair, BofA. Sergio, good morning. Great to have clarity on the strategy and obviously the market is delighted as you are that the flows have come back. Just then on operating costs. Very clear ambitions and it looks like you're bringing forward a little 2027 to 2026 when you've landed everything. But just given the size of the operating costs in the old Credit Suisse investment bank and non-core, can you give us any sense about how quickly you can go there? So the quite a large restructuring charge, integration charge in the second half, but does that cost number move out quickly so that you normalize profitability or is there still quite a long, long tail to the cost in that part of the business? It's just, you know, IB classic, the revenues have gone, the costs are still lingering and how quickly they go? Thank you.",31 August 2023,2Q23,2q23-earnings-call-remarks.pdf,,Bank of America Merrill Lynch,"Yes. Thank you. It's Alastair, BofA. Sergio, good morning. Great to have clarity on the strategy and obviously the market is delighted as you are that the flows have come back. Just then on operating costs. Very clear ambitions and it looks like you're bringing forward a little 2027 to 2026 when you've landed everything. But just given the size of the operating costs in the old Credit Suisse investment bank and non-core, can you give us any sense about how quickly you can go there? So the quite a large restructuring charge, integration charge in the second half, but does that cost number move out quickly so that you normalize profitability or is there still quite a long, long tail to the cost in that part of the business? It's just, you know, IB classic, the revenues have gone, the costs are still lingering and how quickly they go? Thank you."," And I would probably complement Todd’s observation. Because, it is very important that de facto the vast majority of the assets are in non-core and legacy are supported by the Credit Suisse IB platform. So, as we progress in winding down the, call it, core day-to-day operation from the front office stand point of view. Whatever is left is going to be legacy infrastructure, IB infrastructure, that is only there for non-core. And so you can see out then this will be a very important element in determining how quickly we get rid of non-core assets. Because as a consequence of that, we accelerate the winding down of this operation. But I think that's exactly what we are working on and we will give you more detail early on next year when we present our Q4 results and our three year plan."
Chris Hallam,Goldman Sachs,"Good morning, everybody. And thanks for taking my questions. Just two for me. First, in Wealth Management, you've talked about now essentially being at scale in every growth market globally. But in tangible terms, what does that enhanced scale enable you to do that perhaps you weren't able to do previously? And have you seen any proactive response from competitors in reaction to that enhanced scale? That's my first question. And then second, looking at the banking business in Switzerland. Now the dust has settled, does all the volatility we saw earlier in the year changed at all how you think strategically about running the combined Swiss bank be it in terms of capital, funding, liquidity, etc.? I guess just sort of simply has your risk appetite changed in Switzerland?",31 August 2023,2Q23,2q23-earnings-call-remarks.pdf,,Goldman Sachs,,
Kian Abouhossein,JP,"Morgan Yeah, good morning, Sergio and Todd. Thanks for taking my questions. First question is on risk weighted assets. You have around USD 557 billion, USD 145 billion operational risk weighted assets. And I'm just wondering how we should think about the exit run rates in 2026 in terms of total risk weighted assets as well as in terms of operational risk weighted assets if I may. And then the second question is related to the non- core. Could you talk a little bit about the P&L effects of the non-core ex any more active write-downs or sales, so to say, leading to potential write-downs? I'm just trying to understand the P&L in terms of run rate of the noncore legacy bank, if I may. Thank you.",31 August 2023,2Q23,2q23-earnings-call-remarks.pdf,,JP,"Morgan Yeah, good morning, Sergio and Todd. Thanks for taking my questions. First question is on risk weighted assets. You have around USD 557 billion, USD 145 billion operational risk weighted assets. And I'm just wondering how we should think about the exit run rates in 2026 in terms of total risk weighted assets as well as in terms of operational risk weighted assets if I may. And then the second question is related to the non- core. Could you talk a little bit about the P&L effects of the non-core ex any more active write-downs or sales, so to say, leading to potential write-downs? I'm just trying to understand the P&L in terms of run rate of the noncore legacy bank, if I may. Thank you.",
Kian Abouhossein,JP,"Morgan Okay. Thank you. If I may just very briefly on the risk weighted assets, if I – to take a very simplistic view and I just assume. I know the runoff, I can make some assumptions about Basel IV then op risk which is clearly very difficult to predict if I want to be conservative. One could assume that ultimately the risk weighted assets conservatively could not grow if at all to materially decline?",31 August 2023,2Q23,2q23-earnings-call-remarks.pdf,,JP,"Morgan Okay. Thank you. If I may just very briefly on the risk weighted assets, if I – to take a very simplistic view and I just assume. I know the runoff, I can make some assumptions about Basel IV then op risk which is clearly very difficult to predict if I want to be conservative. One could assume that ultimately the risk weighted assets conservatively could not grow if at all to materially decline?",
Flora Bocahut,Jefferies,"Yes. Good morning. Thank you for taking my questions. I'd like to go back actually to some of the elements you have discussed on this call already, especially the NCL. Maybe trying to help us understand how much of the ROCET1 improvement towards 2026 is going to be driven by this unit, considering our move to natural runoff here, you know, trying to help us assess already at this stage what – how loss-making it is today and how loss- making it would end up being in 2026, only considering the natural runoff. And then the other question I wanted to raise is on the cost save. Just to make sure I understand correctly. So you basically have already a target of 3 billion cost saves on an annualized run rate at the end of this year. But this is compared to the end of 2022, I think. So, how much of the annualized 3 billion do you kind of already have, you know, in the 2Q accounts, please? Thank you.",31 August 2023,2Q23,2q23-earnings-call-remarks.pdf,,Jefferies,"Yes. Good morning. Thank you for taking my questions. I'd like to go back actually to some of the elements you have discussed on this call already, especially the NCL. Maybe trying to help us understand how much of the ROCET1 improvement towards 2026 is going to be driven by this unit, considering our move to natural runoff here, you know, trying to help us assess already at this stage what – how loss-making it is today and how loss- making it would end up being in 2026, only considering the natural runoff. And then the other question I wanted to raise is on the cost save. Just to make sure I understand correctly. So you basically have already a target of 3 billion cost saves on an annualized run rate at the end of this year. But this is compared to the end of 2022, I think. So, how much of the annualized 3 billion do you kind of already have, you know, in the 2Q accounts, please? Thank you.",
Stefan Stalmann,Autonomous Research,"Good morning and thank you very much for the presentation. I have two numbers questions, please. So, the first one is on capitalized software. You have taken these roughly 1.8 billion of software impairments in the PPA. Can you give us a rough sense of how much of a remaining amount of capitalized software remains in your group accounts that relates to CS? And is there a risk of further impairments given that you want to retain only about 10% of these systems? And the second question relates to your capital requirements. So, you show still at 10.6% CET1 over risk- weighted assets. If we were to apply the current capital metrics that is outlined in Swiss banking law, what would be the capital requirement if there was no FINMA transitional forbearance, please ? Thank you very much.",31 August 2023,2Q23,2q23-earnings-call-remarks.pdf,,Autonomous Research,"Good morning and thank you very much for the presentation. I have two numbers questions, please. So, the first one is on capitalized software. You have taken these roughly 1.8 billion of software impairments in the PPA. Can you give us a rough sense of how much of a remaining amount of capitalized software remains in your group accounts that relates to CS? And is there a risk of further impairments given that you want to retain only about 10% of these systems? And the second question relates to your capital requirements. So, you show still at 10.6% CET1 over risk- weighted assets. If we were to apply the current capital metrics that is outlined in Swiss banking law, what would be the capital requirement if there was no FINMA transitional forbearance, please ? Thank you very much.","Stefan on CET1, I think when you look at the fully implemented regime in Switzerland which is not applicable to us until 2027, it would be around 12.5%. 12-point-plus and that's you know the reason why we raised our CET1 ratio was both to reflect, you know, a buffer there to accommodate for the restructuring, but also is a clear, call it small, front running of what we expect to come. As a consequence of that, and our, and the finalization of Basel III, which is partially already in our books. So, you can count on this number to be calibrated with a pretty medium term, medium to long-term expectation of the current interpretation of all regulatory regimes worldwide, including Switzerland."
Anke Reingen,RBC,"Thank you very much for taking my questions. The first is on revenue cost synergies. I mean, you had a comment and especially if you think you can keep this with market share unchanged. Is it something you really think maybe people get overly concerned and you don't see quite that risk of a revenue dissynergies even if you potentially have to contract some of this at bit more attractive rates or incentivizing your advisors? And then secondly, on slide 16 where you show us the return path and there's this block about the funding cost efficiencies. And that's something you – I guess apart from the drop out of the higher expense funding at Credit Suisse, is there other areas where you see the material benefits from lowering funding costs and overall group benefits because this block is the same size as the cost base rightsizing? Obviously can maybe elaborate a bit more on that area. Thank you.",31 August 2023,2Q23,2q23-earnings-call-remarks.pdf,,RBC,,"Anke, on the second, –the second question in terms of material benefits, we see you obviously highlighted the most significant one, which will be just the take out of the significant cost that we were wearing in connection with the PLB and the ELA+ facilities. But, I would say, and, as I've remarked earlier, that we expect the positive contribution from the Credit Suisse wealth management franchise in our NII in 3Q and that comes principally from having stabilized the business and net new deposits that are also helping on NII. So, I would say that's another factor that is helping on the underlying profitability."
Benjamin Goy,Deutsche Bank,"Yes. Hi. Good morning. Two questions from my side. The first, to play devil's advocate, are there more outflows to come or where you kind of already had outflows from clients, but maybe some longer-term structures, partnerships or anything like that take time to see the outflows? And then secondly, for the first time in a while, your CET1 capital is higher than your tangible book value or almost the same. So now, the 15% return on CET1, should that also be broadly similar to RoTE, going forward, or should we expect more moving parts towards 2026? Thank you very much.",31 August 2023,2Q23,2q23-earnings-call-remarks.pdf,,Deutsche Bank,," And Benjamin, in terms of the return on CET1 versus RoTE impact, I'd say there are two factors that do argue in favor of moving in that direction, just not yet but for sure on the first one, the denominator effect we’re bigger and so that's obviously going to make the difference between the historic RoTE versus RoCET1 smaller, by definition. So – and you know that – so that denominator effect is now in play and it is helpful as you suggest probably as well, contributing to what you observe. The other one though which has been our historic delta that really has given us pause to move off of what we think is a more meaningful return measure are DTAs. But there of course, you know, as they amortize down, because these generally although not exclusively but generally relate to you know very old losses that we're you know now you know continuing to just chip away at as that balance comes down, then that's yet another factor that would argue in favor of moving to the other measure."
Benjamin Goy,Deutsche Bank,Fair enough and very clear. Thank you.,31 August 2023,2Q23,2q23-earnings-call-remarks.pdf,,Deutsche Bank,,
Amit Goel,Barclays,"Hi. Thank you and thanks for a lot of good information. The first question was, I appreciate there's a lot of moving parts. We're going to spend a bit of time trying to update estimates and all that kind of stuff. But in terms of the path for the RoCET1 to get to that kind of 15% 2026 exit rate, are you able to give any color in terms of expectation for 2024, 2025, or how you’d like it to trend? And then secondly, just on the costs. It'll be great to get a bit more color on the saving. So, I'm just kind of curious things like, you know, 10 billion gross, but how much net saving or how much reinvestment of that do you expect to do where you found the incremental 2 billion versus the 8 billion? And also, how you're spending, you know, the 12 billion restructuring? Because it does seem like, you know, quite a big number. So, you know, just wondering if there could be benefits there as well. Thank you.",31 August 2023,2Q23,2q23-earnings-call-remarks.pdf,,Barclays,"Hi. Thank you and thanks for a lot of good information. The first question was, I appreciate there's a lot of moving parts. We're going to spend a bit of time trying to update estimates and all that kind of stuff. But in terms of the path for the RoCET1 to get to that kind of 15% 2026 exit rate, are you able to give any color in terms of expectation for 2024, 2025, or how you’d like it to trend? And then secondly, just on the costs. It'll be great to get a bit more color on the saving. So, I'm just kind of curious things like, you know, 10 billion gross, but how much net saving or how much reinvestment of that do you expect to do where you found the incremental 2 billion versus the 8 billion? And also, how you're spending, you know, the 12 billion restructuring? Because it does seem like, you know, quite a big number. So, you know, just wondering if there could be benefits there as well. Thank you.",
Andrew Lim,Société Générale,"Hi. Good morning. Thanks for taking my questions and thanks for all the detail. So, firstly, on the fair value markdowns that you've taken there, related to that, could you give an idea of the maturity remaining on these financial assets and how we should think about the reversal of those markdowns? So, you've highlighted more than 1.5 billion for the second half of this year. Is that the kind of run rate that we should be expecting going forward? And then secondly, on the NCL, perhaps I can ask it a different way. Do you have a better idea now of what the ultimate cumulative losses might be from the NCL? Would they be less than the 5 billion maybe that you might have been exposed to under the LPA agreement? That's my question there. And then thirdly, might I quickly ask, on the domestic side, certainly for some businesses, you will have a significant market share. And I wonder if there's any maybe regulatory risk that that market share might be looked at and you'd be forced to bring it down to a level which is more palatable to the regulators. Thank you.",31 August 2023,2Q23,2q23-earnings-call-remarks.pdf,,Société Générale,"Hi. Good morning. Thanks for taking my questions and thanks for all the detail. So, firstly, on the fair value markdowns that you've taken there, related to that, could you give an idea of the maturity remaining on these financial assets and how we should think about the reversal of those markdowns? So, you've highlighted more than 1.5 billion for the second half of this year. Is that the kind of run rate that we should be expecting going forward? And then secondly, on the NCL, perhaps I can ask it a different way. Do you have a better idea now of what the ultimate cumulative losses might be from the NCL? Would they be less than the 5 billion maybe that you might have been exposed to under the LPA agreement? That's my question there. And then thirdly, might I quickly ask, on the domestic side, certainly for some businesses, you will have a significant market share. And I wonder if there's any maybe regulatory risk that that market share might be looked at and you'd be forced to bring it down to a level which is more palatable to the regulators. Thank you.",
Andrew Lim,Société Générale,That's great. That's really helpful. Thanks.,31 August 2023,2Q23,2q23-earnings-call-remarks.pdf,,Société Générale,That's great. That's really helpful. Thanks.,
Adam Terelak,Mediobanca,"Morning. Thank you for the questions. I want to get under the hood a little bit more in Wealth Management. Firstly, on the CS business acquired, clearly there are some business exits to worry about some that you think non-core in the kind of the wealth management unit. Can you give us a sense of what the revenue attached to that might look like. But also any detail on AT1 cost savings that come through the NII in that division as well. And then secondly, the competitive environment. I noticed in your GWM business, UBS standalone costs are up on lower revenues. I just want to know kind of what the cost is to retain management at this point? What are you seeing the competitive landscape on the RM side or the advisors side, but also in your deposit side what sort of campaigns have you been running to re-attract deposits and how easy or difficult has that been in the current rates and deposits environment? Thank you.",31 August 2023,2Q23,2q23-earnings-call-remarks.pdf,,Mediobanca,"Morning. Thank you for the questions. I want to get under the hood a little bit more in Wealth Management. Firstly, on the CS business acquired, clearly there are some business exits to worry about some that you think non-core in the kind of the wealth management unit. Can you give us a sense of what the revenue attached to that might look like. But also any detail on AT1 cost savings that come through the NII in that division as well. And then secondly, the competitive environment. I noticed in your GWM business, UBS standalone costs are up on lower revenues. I just want to know kind of what the cost is to retain management at this point? What are you seeing the competitive landscape on the RM side or the advisors side, but also in your deposit side what sort of campaigns have you been running to re-attract deposits and how easy or difficult has that been in the current rates and deposits environment? Thank you.",
Adam Terelak,Mediobanca,"So, funding it seems that is in the corporate center and not in the divisions?",31 August 2023,2Q23,2q23-earnings-call-remarks.pdf,,Mediobanca,"So, funding it seems that is in the corporate center and not in the divisions?",
Adam Terelak,Mediobanca,"So, any funding noise, AT1 versus liquidity facility resourced out in the corporate center rather than in-house?",31 August 2023,2Q23,2q23-earnings-call-remarks.pdf,,Mediobanca,"So, any funding noise, AT1 versus liquidity facility resourced out in the corporate center rather than in-house?",
Adam Terelak,Mediobanca,Okay. Thank you.,31 August 2023,2Q23,2q23-earnings-call-remarks.pdf,,Mediobanca,Okay. Thank you.,
Andrew Coombs,Citigroup,"Good morning it’s Andrew Coombs from Citi and thank you for taking my questions. Two if I may. Firstly, I want to turn back to follow up on the PPA pull-to-par bit in relationship to the restructuring charges. You made this comment that, out of the period at end of 2026, I think restructuring charges will be largely but not wholly offset by the PPA pull-to-par effect. And then in your later comments, you talked about probably 0.5 billion of pull-to- par effect, of which 4.5 would be noncore, and that most of that would be recognized in a three- to four-year timeframe. So, can we assume restructuring charges of the magnitude of 12.5? And can you give us a feel for the timing of those relative to the PPA pull-to-par? And then the second question is on slide 29. You provide a useful quarterly trajectory going from minus 0.3 billion in Q2 and you talked about breakeven in Q3. But you also flagged 750 million of savings, 550 million of funding cost savings. There's a 650 million arguably one-off ECL charge on the non-credit impaired CS portfolio data this quarter. So, just trying to understand the going from minus 0.3 billion to 0, even with all those additional benefits Q-on-Q, what's the offset? I guess there'd be some seasonality on revenue, a bit of a decline in NII. But any more color there?",31 August 2023,2Q23,2q23-earnings-call-remarks.pdf,,Citigroup,"Good morning it’s Andrew Coombs from Citi and thank you for taking my questions. Two if I may. Firstly, I want to turn back to follow up on the PPA pull-to-par bit in relationship to the restructuring charges. You made this comment that, out of the period at end of 2026, I think restructuring charges will be largely but not wholly offset by the PPA pull-to-par effect. And then in your later comments, you talked about probably 0.5 billion of pull-to- par effect, of which 4.5 would be noncore, and that most of that would be recognized in a three- to four-year timeframe. So, can we assume restructuring charges of the magnitude of 12.5? And can you give us a feel for the timing of those relative to the PPA pull-to-par? And then the second question is on slide 29. You provide a useful quarterly trajectory going from minus 0.3 billion in Q2 and you talked about breakeven in Q3. But you also flagged 750 million of savings, 550 million of funding cost savings. There's a 650 million arguably one-off ECL charge on the non-credit impaired CS portfolio data this quarter. So, just trying to understand the going from minus 0.3 billion to 0, even with all those additional benefits Q-on-Q, what's the offset? I guess there'd be some seasonality on revenue, a bit of a decline in NII. But any more color there?",Thank you.
Vishal Shah,Morgan Stanley,"Hi. Thank you so much for your questions. My first one is on wealth management. Just wanted to get a sense on you know how you are assessing you know the business overlaps in that segment – in that segment or you've had you know further chance to sort of you know look at you know different regions and how to respond to all the ongoing competitive pressures and in terms of you know relationship managers and then sort of bankers in that segment? So, if you could give a bit of an update on that side? And then the second one is on the investment bank, the CS non-core perimeter of 55 billion. I know in one of your slides have provided a natural run-off rate, but I was just trying to get a sense if you could provide any sort of color in terms of what is your sort of ambition on actively winding down this perimeter in terms of timeline, i.e. could we expect you know the next two years basically by 2025 you know broadly most of this run down to be done. Is that is that a fair assumption or are you looking at it in a bit of a different way? Thank you so much.",31 August 2023,2Q23,2q23-earnings-call-remarks.pdf,,Morgan Stanley,,
Vishal Shah,Morgan Stanley,Okay. Thank you so much.,31 August 2023,2Q23,2q23-earnings-call-remarks.pdf,,Morgan Stanley,Okay. Thank you so much.,
Giulia Miotto,Morgan Stanley,"Hi. Good morning. Thank you for taking my questions. I'll ask two, please. So my first one, thank you very much for the guidance on NII in GWM which was something the market was looking forward to. Can I just ask a clarification? If you look at the current forward curve, when do you expect NII to bottom exactly? Do you think second half 2024 and then we can grow, or possibly first half of 2025? So that's the first question. And then the second question is, instead, on the capital of the parent and in particular the CSI, it seems to have a lot of excess capital and upstreaming that could reduce the impact of – the potential impact from the proposal in Switzerland. Can we expect UBS to upstream some of that capital or how are you thinking about excess capital at subsidiaries? Thank you.",14 August 2024,2Q24,2q24-earnings-call-remarks.pdf,,Morgan Stanley,"Hi. Good morning. Thank you for taking my questions. I'll ask two, please. So my first one, thank you very much for the guidance on NII in GWM which was something the market was looking forward to. Can I just ask a clarification? If you look at the current forward curve, when do you expect NII to bottom exactly? Do you think second half 2024 and then we can grow, or possibly first half of 2025? So that's the first question. And then the second question is, instead, on the capital of the parent and in particular the CSI, it seems to have a lot of excess capital and upstreaming that could reduce the impact of – the potential impact from the proposal in Switzerland. Can we expect UBS to upstream some of that capital or how are you thinking about excess capital at subsidiaries? Thank you.",
Giulia Miotto,Morgan Stanley,Thank you.,14 August 2024,2Q24,2q24-earnings-call-remarks.pdf,,Morgan Stanley,Thank you.,
Andrew Coombs,Citi,"Good morning. Let's just drill down to the areas where you've perhaps delivered ahead of expectations. So firstly, on the Non-core, another successful quarter of actively reducing the RWAs and some further gains on some of those division exits. You're now talking about narrowing that gap in the natural runoff. So based on the natural runoff you’ll be at 6% and you're aiming for 5%. So I think that is only another USD 5 billion inside of active RWA management in that business. And now you alluded to the close of the US mortgage servicing business will get you some way towards that. So, should we assume that active management within the NCL book is now largely complete or will be largely complete by the end of this year? And then my second question is just on costs. Previously, I think you were expecting to be at 50% by end 2024. You're now 55% guiding by end of 2024 of the total cost saving target of next so USD 500 million of cost saves you realized earlier than expected. Which division is it that these cost are coming through earlier than expected? And in your mind, is it purely just a timing issue that coming through earlier as opposed to a quantum issue that you're delivering more cost savings than expected? Thank you.",14 August 2024,2Q24,2q24-earnings-call-remarks.pdf,,Citi,"Good morning. Let's just drill down to the areas where you've perhaps delivered ahead of expectations. So firstly, on the Non-core, another successful quarter of actively reducing the RWAs and some further gains on some of those division exits. You're now talking about narrowing that gap in the natural runoff. So based on the natural runoff you’ll be at 6% and you're aiming for 5%. So I think that is only another USD 5 billion inside of active RWA management in that business. And now you alluded to the close of the US mortgage servicing business will get you some way towards that. So, should we assume that active management within the NCL book is now largely complete or will be largely complete by the end of this year? And then my second question is just on costs. Previously, I think you were expecting to be at 50% by end 2024. You're now 55% guiding by end of 2024 of the total cost saving target of next so USD 500 million of cost saves you realized earlier than expected. Which division is it that these cost are coming through earlier than expected? And in your mind, is it purely just a timing issue that coming through earlier as opposed to a quantum issue that you're delivering more cost savings than expected? Thank you.",
Andrew Coombs,Citigroup,That's clear. Thank you. I guess the follow on would just be your previous guidance was for a typical run rate of close to zero revenues from NCL per quarter and presuming that's unchanged?,14 August 2024,2Q24,2q24-earnings-call-remarks.pdf,,Citigroup,That's clear. Thank you. I guess the follow on would just be your previous guidance was for a typical run rate of close to zero revenues from NCL per quarter and presuming that's unchanged?,
Andrew Coombs,Citigroup,Thank you.,14 August 2024,2Q24,2q24-earnings-call-remarks.pdf,,Citigroup,Thank you.,
Jeremy Sigee,BNP Paribas,"Hi there. Thank you. Two questions, please. First one, just follows on from just exactly what you were talking about there, the guidance for the P&L drag from NCL. Obviously, it's going better than expected, which is great to see. What would we expect now – previously you were talking about USD 2 billion P&L drag exit rate in 2025 and then USD 1 billion exiting 2026. And obviously it's going much better than that with sort of a UBS 1 billion drag in the second half that you're integrating. What should we expect for 2025? And could the NCL drag be finished within 2025 rather than carrying on into 2026? Any update on that would be really helpful. And then my second question, just a more sort of specific one on investment banking costs. They drifted up a little bit more than revenues in the second quarter, it's not a big move, but the cost income deteriorated against those strong revenues rather than perhaps you might have hoped it could have improved a little bit. So, any comments on the drivers, whether there's any one-offs in there or anything unusual, just how we should interpret that IB cost number, please",14 August 2024,2Q24,2q24-earnings-call-remarks.pdf,,BNP Paribas,"Hi there. Thank you. Two questions, please. First one, just follows on from just exactly what you were talking about there, the guidance for the P&L drag from NCL. Obviously, it's going better than expected, which is great to see. What would we expect now – previously you were talking about USD 2 billion P&L drag exit rate in 2025 and then USD 1 billion exiting 2026. And obviously it's going much better than that with sort of a UBS 1 billion drag in the second half that you're integrating. What should we expect for 2025? And could the NCL drag be finished within 2025 rather than carrying on into 2026? Any update on that would be really helpful. And then my second question, just a more sort of specific one on investment banking costs. They drifted up a little bit more than revenues in the second quarter, it's not a big move, but the cost income deteriorated against those strong revenues rather than perhaps you might have hoped it could have improved a little bit. So, any comments on the drivers, whether there's any one-offs in there or anything unusual, just how we should interpret that IB cost number, please",
Jeremy Sigee,BNP Paribas,"I'm sorry, speaking Q-on-Q, I think the costs are up 3% and the revenues are up 1%. So, I was thinking more Q-on-Q.",14 August 2024,2Q24,2q24-earnings-call-remarks.pdf,,BNP Paribas,"I'm sorry, speaking Q-on-Q, I think the costs are up 3% and the revenues are up 1%. So, I was thinking more Q-on-Q.",
Jeremy Sigee,BNP Paribas,Which is variable. Okay.,14 August 2024,2Q24,2q24-earnings-call-remarks.pdf,,BNP Paribas,Which is variable. Okay.,
Jeremy Sigee,BNP Paribas,Understood. Thank you very much.,14 August 2024,2Q24,2q24-earnings-call-remarks.pdf,,BNP Paribas,Understood. Thank you very much.,
Kian Abouhossein,JP,"Morgan Yes, thanks for taking my questions. The first one is related to Wealth Management. First of all, thanks again for the disclosure. I hope some of the US peers are listening as this was very helpful relative to what I heard before from US peers. Sweep deposits last Disclosure was $35.7 billion. I was wondering where we are roughly right now in the US entity? If you could also share – share with us the advisory part of that so we can kind of understand the adjustment factor and what rate you are paying now versus what rate you will be paying for the fee deposits on this advisory mandates? And in that context, if you could briefly talk about lending, which was down ex-US, just to understand how much of that is related to adjustments of your offering to the CS client versus actually losses in lending? And then the second question is on legal entity on page 19, a very useful chart. And you talk about further legal entity simplification in the US as well as the UK legal entity going into a branch, I was wondering what capital relief you expect from that or maybe even in subjective terms, if you can talk a little bit about the changes that will happen in when you describe it here on the page.",14 August 2024,2Q24,2q24-earnings-call-remarks.pdf,,JP,"Morgan Yes, thanks for taking my questions. The first one is related to Wealth Management. First of all, thanks again for the disclosure. I hope some of the US peers are listening as this was very helpful relative to what I heard before from US peers. Sweep deposits last Disclosure was $35.7 billion. I was wondering where we are roughly right now in the US entity? If you could also share – share with us the advisory part of that so we can kind of understand the adjustment factor and what rate you are paying now versus what rate you will be paying for the fee deposits on this advisory mandates? And in that context, if you could briefly talk about lending, which was down ex-US, just to understand how much of that is related to adjustments of your offering to the CS client versus actually losses in lending? And then the second question is on legal entity on page 19, a very useful chart. And you talk about further legal entity simplification in the US as well as the UK legal entity going into a branch, I was wondering what capital relief you expect from that or maybe even in subjective terms, if you can talk a little bit about the changes that will happen in when you describe it here on the page.",
Kian Abouhossein,JP,Morgan And it's not just on sweep. I know that Morgan Stanley has confirmed 2% rate to be paid. Should we look at similar rates and could you just also remind us of where we are on the sweep volumes at the moment? Last number we saw was $35.7 billion?,14 August 2024,2Q24,2q24-earnings-call-remarks.pdf,,JP,Morgan And it's not just on sweep. I know that Morgan Stanley has confirmed 2% rate to be paid. Should we look at similar rates and could you just also remind us of where we are on the sweep volumes at the moment? Last number we saw was $35.7 billion?,
Kian Abouhossein,JP,Morgan Thanks.,14 August 2024,2Q24,2q24-earnings-call-remarks.pdf,,JP,Morgan Thanks.,
Anke Reingen,RBC,"Yeah, thank you very much for taking my question – questions. The first one is just on the Basel IV impact of the USD 25 billion on the 1st of January 2025. I guess you said you will give us a bit more detail with potentially before year-end. But I mean, you previously talked about a USD 15 billion net of, yeah, Non-core rundown. Do you have a – can you give us a better indication of how the USD 25 billion will actually look on the 1st of January 2025? And then, sorry, coming back on the NII guidance, just confirming the P&C reiterating of guidance that's on the US dollar basis rather than Swiss francs. And just conceptually, I mean I see, I mean, you now assume more rate cuts than before, but the guidance is reiterated. Can you just maybe highlight what the missing pieces that allows you to reiterate guidance? Thank you very much.",14 August 2024,2Q24,2q24-earnings-call-remarks.pdf,,RBC,"Yeah, thank you very much for taking my question – questions. The first one is just on the Basel IV impact of the USD 25 billion on the 1st of January 2025. I guess you said you will give us a bit more detail with potentially before year-end. But I mean, you previously talked about a USD 15 billion net of, yeah, Non-core rundown. Do you have a – can you give us a better indication of how the USD 25 billion will actually look on the 1st of January 2025? And then, sorry, coming back on the NII guidance, just confirming the P&C reiterating of guidance that's on the US dollar basis rather than Swiss francs. And just conceptually, I mean I see, I mean, you now assume more rate cuts than before, but the guidance is reiterated. Can you just maybe highlight what the missing pieces that allows you to reiterate guidance? Thank you very much.",
Anke Reingen,RBC,"Sorry, just to follow up. So on the 1st of January 25, as the 25 – I mean, the 5% increase in RWA or should it be lower because some mitigation or NCL run down has already kicked-in or reduced the impact?",14 August 2024,2Q24,2q24-earnings-call-remarks.pdf,,RBC,"Sorry, just to follow up. So on the 1st of January 25, as the 25 – I mean, the 5% increase in RWA or should it be lower because some mitigation or NCL run down has already kicked-in or reduced the impact?",
Anke Reingen,RBC,Okay. Thank you very much.,14 August 2024,2Q24,2q24-earnings-call-remarks.pdf,,RBC,Okay. Thank you very much.,
Chis Hallam,Goldman,"Sachs Yeah, good morning and thanks for taking my questions. So first, you've guided for banking to generate almost twice the baseline revenues by 2026 assuming supportive markets. So, obviously performance was very strong in the second quarter. But then we saw this period of elevated volatility at the start of August. Has that changed anything in terms of how close we are now to supportive markets? And how would you expect the recovery to progress through the second half of this year? And then second question, just on profitability, at the start of the year, you said you'd expect to get to around 45% of the USD 13 billion gross savings by the end of 2024, and you've got that by the end of the first half. And you also guided for mid-single-digit underlying return on core tier one this year and mid to high for next year. Consensus is at 6% for this year and 9% for next year. But in the first half you're already above 9%. So how should we be thinking now about the path for underlying return on core tier one through 2024 and 2025?",14 August 2024,2Q24,2q24-earnings-call-remarks.pdf,,Goldman,"Sachs Yeah, good morning and thanks for taking my questions. So first, you've guided for banking to generate almost twice the baseline revenues by 2026 assuming supportive markets. So, obviously performance was very strong in the second quarter. But then we saw this period of elevated volatility at the start of August. Has that changed anything in terms of how close we are now to supportive markets? And how would you expect the recovery to progress through the second half of this year? And then second question, just on profitability, at the start of the year, you said you'd expect to get to around 45% of the USD 13 billion gross savings by the end of 2024, and you've got that by the end of the first half. And you also guided for mid-single-digit underlying return on core tier one this year and mid to high for next year. Consensus is at 6% for this year and 9% for next year. But in the first half you're already above 9%. So how should we be thinking now about the path for underlying return on core tier one through 2024 and 2025?","And Chris, on the second, in terms of a return on core tier 1 and how it relates to our guidance. So, you know, as you mentioned, we initially guided it mid - for mid-single-digits for 2024 and mid-to-high for 2025. So naturally, if there's an update, we'll bring it to you and we talk about our 2025 expectations later this year. In terms of where we are, you know, as Sergio highlighted in his comments are the first six months we generated an underlying return on CET1 of 9.2%. So, obviously we're comfortably ahead of the target of mid for 2024."
