Index,Quarter-Year,Asked By,Role of the person Asked the question,Question,Answered By,Role of the person answered the question,Answer
38,1Q24,Mike Mayo,"Analyst, Wells Fargo Securities LLC","Hi. Jamie, I'm just trying to reconcile some of your concerns in your CEO letter. I'm sure the 60 pages  – I can see you put a lot of effort into that, and it's appreciated. But you talked about scenarios, tail risk, macro risk, geopolitical risk and all that over several years, if not weeks or months. I get it. On the other hand, the firm is investing so much more outside the U.S., whether it's commercial or some digital banking, consumer or wholesale payments. So, I'm just trying to reconcile kind of your actions with your words. And specifically, how is global Wholesale Payments going? You mentioned you're in 60 countries. You do business a lot more. How is that business in particular doing? Thanks. Just as a follow up to that then, why is it doing great in terms of Wholesale Payments, given such the – the dislocations in the world from wars to supply chain changes, everything else? Why is Wholesale Payments doing great? Alright. Thank you.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Right, Mike. So I’m sorry to tell you that Jamie actually left us because he’s at a leadership off-site. That’s why he was here remote. So, I think he left the call in my hands, for better or for worse. But let me try to address some of your points and without sort of speaking for Jamie here. I think that when we talk about the impact of the geopolitical uncertainty on the outlook, part of the point there is to note that the U.S. is not isolated from that. If we have global macroeconomic problems as a result of geopolitical situations, that’s not only a problem outside of the U.S.; that affects the global economy and therefore the US and therefore our corporate customers, et cetera, et cetera. And in that context, keeping in mind what we always say that we invest through-the-cycle, that we sort of, we don’t go into countries and then leave countries, et cetera. Obviously, we adjust around the edges, we manage risks, we do make choices as a function of the overall geopolitical environment. But broadly, the notion that we would pull back meaningfully from one of the key competitive strengths that this company has always had which is, its sort of global character because of a particular moment geopolitically, would just be inconsistent with how we've always operated. And in terms of the Wholesale Payments business, it's going great. We're taking share. There's been a lot of innovation there, a lot of investment in technology, a lot of connectivity to payment systems in different countries around the world. And yeah, I'm sure we'll give you more color in other settings on that, but it's a good story. It's a nice thing to see. Well, I think one of the things about Payments businesses is that, in some sense they are – I mean, recession proof is probably the wrong word; and in any case, we're not dealing with the recession. We're talking fundamentally about moving money through pipes around the world, and that's a thing that people need to do more or less, no matter what. So, that's one piece. But I think the other piece is that, our willingness to invest which has always been a focus of yours, is one of the key things separating us in this business right now. And so, we are seeing the benefits of that. Thanks, Mike."
39,1Q24,Glenn Schorr,"Analyst, Evercore ISI","Thank you. Your commentary with Ken's questions were great and clear on Investment Banking for the near term in this year. I have a bigger picture question in terms of, you're always so good in spelling out where you're over-earning. Do you feel like you're under-earning on the Investment Banking side? And I just use some of your own numbers from the past of like, the market has added like $40 trillion of equity market cap and $40 trillion of fixed income market cap last 10 years, yet the wallet is like 20% plus below the 10-year average. So, is there just a bigger upside and it's just a matter of when, not if. Cool. Maybe one other follow-up. You're always investing. You clearly get paid in growth across the franchise as you do. But relative to a lot of other banks that have been keeping the expenses a lot closer to flat, do you envision environment, or maybe I should rephrase that, what type of environment would have J.P. Morgan pull back on this tremendous investment spending wave that you've been going through? Awesome. Thank you.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Yeah, Glenn. In short, yes. I mean, I think we're not shy about saying that we're under-earning in Investment Banking right now. Clearly, we're below cycle averages, as you point out. We've been talking about when do we get back to the pre-pandemic wallet? But as you know, I mean on this point, what it was, like March 2020, right, was the beginning of the pandemic. So, it's like four years ago at this point. So, there has been GDP growth, especially in nominal terms during that period, and you would expect the wallet to growth with that. So, I do think there's meaningful upside in the Investment Banking fee wallet. As I've noted, there are some headwinds, I think particularly in M&A. But over time, you would hope that the amount of M&A is a function of the underlying industrial logic rather than the regulatory environment. So, you could see some mean reversion there. And, yeah, so that's why we're sort of leaning in. We're engaging with clients. We're making sure that we're appropriately resourced for a more robust level of the wallet and fighting for every dollar of share. Sure. So, I think the first thing to say which is somewhat obvious but I'm going to say it anyway is that, there are some like auto-governors in this, right? Like some portion of the expense base is directly related to revenue, whether it's volume-related commissions, whether it's incentive compensation, whether it's other things. So, there are some auto-correcting elements of the expense base that would happen automatically as part of the normal discipline. So, that's point one. Point two is that, independently of the environment, we are always looking for efficiencies. It's a little bit hard to see it, and in a world where we're guiding to, I guess, now with the special assessment added, $91 billion of expenses, it's hard to tell a story about all the efficiencies that have been generated underneath. But that is part of the DNA of the company, that does happen in BAU all the time as we grind things out, get the benefits of scale and try to extract that efficiency. And I think to get to the heart of your question which is, okay, in what type of an environment would we make different strategic questions? And in the end, I think that's a little bit about what that environment is really like. So, if you talk about like a normal recession, with visibility on the cycle, would we change our long-term strategic investment plans which are always built up from a financial modeling perspective assuming resilience through-the-cycle? No, we wouldn't. Could there be some environments that for whatever reason change the business case for certain investments, or even certain businesses, that lead us to make meaningfully different strategic choices? Yes, but that would be because the through-the-cycle analysis has changed for some reason. I just don't see us fundamentally making strategically different decisions if the strategic outlook is unchanged, simply because of the business cycle in the short-term. Thanks."
40,1Q24,Matt O'Connor,"Analyst, Deutsche Bank Securities, Inc.","Good morning. You mentioned one use of capital is to lean into the trading businesses with your balance sheet. And we just see the trading assets going up Q2, which is probably seasonal, but also up a lot year-over-year, but not necessarily translate into higher revenues. And I know they don't like match up necessarily each quarter, but maybe just elaborate like how you're leaning into the trading with the balance sheet and how you expect that to benefit you over time. Got it. And then just separately, within the Consumer Card businesses, you highlighted volumes were up 9% year-over-year. Obviously, still a very strong piece. Any trends within that that are worth noting in terms of changes in spend category? Either overall or among certain segments? Thank you. Okay. That's helpful. Thank you very much.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Yeah, sure. So, let me break this question down into a couple of different parts. So, I think what Jamie was sort of suggesting is that, you can think of the concept as kind of like strategic capital versus tactical capital for lack of a better term. And what he's kind of saying is that, in a moment where you're carrying a lot of excess capital sort of for strategic reasons, you have the ability at least in theory to deploy portions of that with kind of like – into relatively short-duration assets or strategies or client opportunities in whatever moment for whatever reason, and what might be thought of as a tactical sense. So, he's just pointing out that that's an option that you have. And the extent to which this quarter's increase in Markets RWA is a reflection of that, maybe a little bit, but probably not. I agree with you that it's hard in any given quarter to specifically link the change in capital and RWA to a change in revenue versus too many moving parts there. But for sure, one thing that's true is the higher run rate of the Markets businesses as a whole that we talked about a second ago, is linked also to higher deployment of balance sheet into those businesses. So, as you well know, we pride ourselves on being extremely analytical and extremely disciplined in how we analyze capital liquidity, balance sheet deployment, GSIB capacity utilization, et cetera, in the Markets business. And we don't just chase revenue; we go after returns fully measured. And that's part of the DNA, and we continue to do it and we will. So – that we still are operating under multiple binding constraints. And obviously, the environment is complex, so the ability to sort of throw a ton of capital at opportunities is not quite that simple always. But big picture, we are clearly in a very, very strong capital position which is, in no small part in anticipation of all the uncertainty, but it does also mean that if opportunities arise between now and when the Basel III Endgame is final, we are very well positioned to take advantage of those opportunities. Maybe a little bit. Jamie already alluded somewhat to this. So, I do think spend is fine but not boomy, broadly speaking, I would say. You can look at it a lot of different ways: inflation, cohorts, et cetera. But when you kind of triangulate that, you get back to this kind of flattish picture. There is a little bit of evidence of substituting out of discretionary into nondiscretionary. And I think the single most notable thing is just this effect, where in the – while it is true that real incomes have gone up in the lowest income cohorts, within that there's obviously a probability distribution. And there's some – or rather just a distribution of outcomes. And there are some set of people whose real incomes are not up, they're down, and who are therefore struggling a little bit unfortunately. And what you observe in the spending patterns of those people is, some meaningful slowing rather than what you might have feared which is sort of aggressive levering up. So, I think that's maybe an economic indicator of sorts, although this portion of the population is small enough that I'm not sure the reader cost is that big. But it is encouraging from a credit perspective because it just means that people are behaving kind of rationally and in a sort of normal post-pandemic type of way as they manage their own balance sheets, and that's sort of the margin good news from a credit perspective. Thanks."
41,1Q24,Gerard Cassidy,"Analyst, RBC Capital Markets LLC","Hi, Jeremy. Good. Thanks. Notwithstanding your guys' outlook for uncertainty, and of course Jamie talked about it in his shareholder letter and addressed it also on this call when he was here earlier. Can you guys share or can you share with us the color on what's going on in the corporate lending market in terms of spreads seem to be getting tighter? It's not reflecting, I don't think, a real fear out there in the global geopolitical world. And any color just on what you guys are seeing in the leveraged loan market as well? Thank you. And I guess, as a tie-in to that question and answer, we've read and seen so much about the private credit growth in this country by private credit companies. Can you give us some color on what you're seeing there, both as a competitor, but also as a client of JPMorgan? How you balance the two out, where you may see them bidding on business that you'd like but at the same time you're supporting their business? Appreciate the color. Thank you.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Hey, Gerard. How are you doing? Right. So, I think what's true about spreads in general, just broadly credit spreads including secondary markets and to some extent the leverage lending space, is that they are exceptionally tight. So, I'm sure that's reversed a little bit in the last few days. But broadly throughout the quarter, we've really seen credit spreads tighten quite a bit. You even see that a little bit in our OCI this quarter, where losses in OCI that we would've had from higher rates have been meaningfully offset by tighter credit spreads in the portfolio. So broadly, sort of in keeping with the big run-up that we saw in equity markets and the general sort of bullish tone, you saw quite a bit of credit spread tightening in secondary markets. That, I think, has manifested itself a little bit in the leverage lending space in the normal way that it does, and that there's a lot of competition among providers for the revenue pool, and you start to see a little bit of loosening of terms which always makes us a little bit concerned. And as we have in the past, we are going to be very well prepared to lose share in that space if we don't like the terms. We never compromise on structure there. So, you are seeing a little bit of that. I think that, away from the leverage lending space in the broader C&I space, there was a moment a few months ago where I think, in no small part, as a result of banks generally anticipating this more challenging capital environment and sort of disciplining a little bit their lending, you're seeing a little bit of widening actually in those corporate lending spreads. I don't know if that trend has like survived over the last few weeks, and it was little bit hard to observe in any case. But I would say broadly, the dynamics are the tension between people trying to be careful with their balance sheets and the fact that overall asset prices and conditions are quite supportive and secondary market credit spreads have rallied a lot. Right. Yeah. I mean, I think that tension between us as a provider of secured financing to some portions of the private credit, private equity community, you're talking about different parts of the capital structure. But we do recognize that we compete in some areas and we are clients of each other in other areas, and that's part of the franchise and it's all good at some level. But narrowly, on private credit, it is interesting to observe what's going on there. So I would say, for us, the strategy there is very much to be product agnostic actually. It's not so much like, oh, is it private credit or is it syndicated lending? It's, what does it take to be good at this stuff? And what it takes is, stuff that we have and have always had and that we're very good at in each individual silo. So, you need underwriting skill, structuring skill, origination, distribution, secondary trading, risk appetite, credit analysis capabilities. And this is what we do and we're really good at it. And increasingly, what you see actually is that, as you see us doing a little bit, as the private credit space gets bigger, it starts to make sense to actually bring in some co-lenders so that you can sort of do big enough deals without having undue concentration risks. I mean, even if you have the capital, you just may not want the concentration risk. And so, in a funny way, the private credit space becomes a little bit more like the syndicated lending space. And at the same time, the syndicated lending space being influenced a little bit by these private credit unitranche structures, gets pushed a little bit in the private credit direction in terms of like speed of execution and other aspects of how that business works. So, we're watching it. The competitive dynamics are interesting. Certainly, there's some pressure in some areas. But we really do think that our overall value proposition and competitive position here is second to none, and so we're looking forward to the future here. Thanks, Gerard."
42,1Q24,Charles W. Peabody,"Analyst, Portales Partners LLC","Good morning. A couple of questions on the First Republic acquisition. Some of us obviously thought that would be a homerun, and I'm glad to see that Jamie Dimon validated that in his annual letter. When you look at the first quarter, it annualizes out to $2.7 billion, $2.8 billion, above the $2 billion that Jamie published in the letter. I know you don't want to extrapolate that. But can you remind us what sort of cost savings you still have in that, because this quarter did see expenses come down to $800 million down from $900 million? And then, secondly, is there an offset to that where the accretion becomes less and less and that's why you don't want to extrapolate the $2.7 billion, $2.8 billion? So, that's my first question. As a quick follow-up. Where are the next homeruns going to come from? And this is more strategic beyond just JPMorgan, but there are probably going to be more regional bank failures, whether it's this year or next year, and opportunities to pick those up. But what you're seeing is that, private equity and family offices are setting up to participate in this next round of bank failures. Mnuchin's buying of NYCB is clearly to create a platform for rollups of failed banks, and then there are other family offices that have filed shelf registrations for bank holding companies whose specific purpose is to buy failed banks. So, do you think that these opportunities are going to be competed away by private credit? And as part of that, do you think the regulators are going to view private credit as a different party and less attractive party versus bank takeovers of failed banks? So, that's my question. Alright. Thank you.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Okay. Thanks, Charlie. And I'm going to do my best to answer your question, while sticking to my sort of guns on not giving too much First Republic specific guidance. But I do think that the kind of framework you're articulating is broadly correct. So, let me go through the pieces. So yes, the current quarter's results annualized to more than the $2 billion Jamie talked about. Yes, a big part of that reason is discount accretion which was very frontloaded as a result of short-dated assets. So, that's part of the reason that you see that converge. Yes, it's also true that we expect the expense run rate to decline later in the year as we continue making progress on integration. Obviously, as I think as I mentioned to you last quarter, from a full year perspective you just have the offset of the full year calendarization effect. There's maybe an embedded question in there, too, about we had talked about $2.5 billion of integration expense. And the integration is real, the expenses are real, and also the time spent on that is quite real. It's a lot of work for a lot of people. It's going well, but we're not done yet; and it takes a lot of effort. But broadly, I think that our expectations for integration expense are probably coming in a bit lower than we originally assumed on the morning of the deal, for a couple of reasons. One is that the framework around the time was understandably quite conservative and sort of assumes that we would kind of lose a meaningful portion of the franchise, and would sort of need to size the expense base accordingly. And of course, it's worked out, to your point, quite a bit better than that. And therefore, the amount of expenses that is necessary to keep this bigger franchise is higher. And that means, less integration expense associated with taking down those numbers. It's probably also true that the integration assumptions were conservative. They were based on kind of more typical type of bank M&A assumptions as opposed to the particular nature of this deal including the FDIC and so on and so forth. So, yeah, I think that probably is a pretty complete answer to your question. Thanks, Charlie. Right. Okay, Charlie. There's a lot in there. And to be honest, I just don't love the idea of spending a lot of time on this call speculating about bank failures. You obviously have a particular view about the next wave in the landscape. I'm not going to bother debating that with you. But I guess, let me just try to say a couple of things, doing my best to answer your question. As we talked about earlier, we have a lot of capital. And as Jamie says, the capital is earnings in store, and right now we don't see a lot of really compelling opportunities to deploy the capital. But if opportunities arise despite the uncertainty about the Basel III Endgame, we will be well positioned to deploy it. I think embedded there is also sort of a question about the FDIC and the FDIC's attitude towards different types of bidders, and obviously there's a lot of thinking and analysis happening about the entire process and some recent forums and speeches on bank resolution and so on and so forth. And I think probably we can all agree that it's better, all else equal for the system, to have as much capital available and as many different types of capital available to ensure that things are stabilized if anything ever goes wrong. But the mechanics of how you do that when you're talking about banks are not trivial and not to be underestimated. So I guess, that's probably as much as I have on that. Thanks."
43,4Q23,Matt O'Connor,"Analyst, Deutsche Bank Securities, Inc.","Good morning. Thanks for all the comments on the net interest income. Any updates on that medium term outlook that you've put out there? Okay. And then just separately, you bought back couple of billion dollars of stock this quarter. What's your thought process on buybacks given the strong capital generation, but also some uncertainty on regulatory proposals? Okay. Thank you.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Yeah. Matt, not particularly updating. I think you're referring to that $80 billion number that we'd put out there, and I wouldn't exactly describe that as an outlook. I think it's more just a number that we put out there to try to quantify a little bit the extent of the overearning. So, not particularly necessary to revise the number. But I just would point out, again, as we highlight on the page, and as I highlighted in the prepared remarks, that when you look at that $94 billion exit rate and full year guidance of $88 billion, that implies obviously exiting below $88 billion and some significant sequential decline. So, in that sense, you can see us kind of marching on the path to that $80 billion. Whether we ever get to the $80 billion or not and when is maybe a topic for later in the year or next year. Yeah. Good question. And I think you framed it exactly correctly in the sense that we obviously have a lot of buyback capacity in general based on our organic capital generation. So, the normal capital hierarchy will apply. But for now, we plan to remain on a modest pace of buybacks consistent with that kind of $2 billion net buyback a quarter number that we've talked about and that you've seen us do, in light of the – probably the need to continue building to have a bit of a buffer, as you said, the uncertainty about the finalization of the rules. And also just as a reminder, the SCB is probably a little bit low right now and has been quite volatile. So, that's another factor that we need to keep in mind. Thanks, Matt."
44,4Q23,John McDonald,"Analyst, Autonomous Research","Thanks. Jeremy, could you give a little more color on what's baked into the loan loss reserve in terms of kind of weighted average assumptions and how any change in macro outlook played into the dynamics of the reserve builds and releases this quarter? Okay. And then, just to follow up on the NII, could you give us some sensitivity to that outlook when you flex the amount of Fed cuts? Like what's the impact of a few Fed cuts and how much does it matter like for the first two versus if you're thinking four, five, six? I know it's complicated, but maybe a little bit of color on like how sensitive you are to a couple of cuts might be helpful. Okay. Thanks.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Yeah. Actually, John, this quarter, that's all like pretty quiet. So, the weighted average unemployment rate number is still 5.5%. We didn't have any really big revisions in the macro outlook driving the numbers, and our skew remains as it has been – a little bit skewed to the downside. Just recognizing that we still see risks being elevated, which obviously you can see that skew in the difference between the weighted average unemployment of 5.5%, and what's in our central outlook, which I think is something like 4.6% (sic) [4.4%] peak of the current levels. Sure. Yeah, happy to do that, John. So, I think probably the best way to do this is to look at our EaR numbers. So, as you know, we don't update that until the Q. But on an estimated basis, it's going to be a little bit lower. So, I think something like $1.9 billion as opposed to $2.1 billion. So, just round numbers, about $2 billion in EaR. I think, empirically, the number is maybe a little higher than that just because even though we do model lags in the EaR, we've been seeing the lag effect be a little bit bigger. But just crudely, I think as I noted, we do remain asset-sensitive. That's one way to quantify it. I would say the empirical number would maybe be a little higher than that, and hopefully, that gives you enough to work with."
45,4Q23,Jim Mitchell,"Analyst, Seaport Global Securities LLC","Hey. Good morning. Maybe just to follow up in a different way on the NII question, just in deposits, can you, Jeremy, discuss your assumptions on the reprice and migration thoughts? And then, layering in if we do get six cuts, does that start to change the dynamic around growth in deposits? How are you thinking about all that? Right. Okay. Thanks a lot.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Yeah. Both good questions. So let's do reprice first. So, I think all else equal, this more dovish Fed environment and these six cuts has the effect of taking a little bit of pressure off the reprice, especially product-level reprice. At the same time, we do continue to expect internal migration, particularly out of checking and savings into CDs, and in Wholesale, a little bit of ongoing migration out of non-interest-bearing into interest-bearing. And that trajectory, I would expect to continue even in a lower rate environment. So, as a result, if you look at weighted average rate paid, for example, for the consumer deposit franchise, we would actually expect that number to be a little bit higher, just even in a world with six cuts. And that's actually intuitive when you think about it, as people continue migrating into CDs, but maybe a little non-intuitive if you're kind of trying to do beta type math with like change in rates and change in rate paid. It gets a little bit non-intuitive. And then, in terms of balances, yeah, you'll note that I said that our outlook is for balances to be very modestly down, which when you consider the QT, despite the various speculations about having it slow down later in the year, continues and that loan growth in the system as a whole is expected to be quite muted. It's a pretty modest decline outlook consistent with the lower rates. So, I kind of agree with you that this environment is at the margin, a little bit more supportive for system-wide deposit balances. And then, obviously, we continue to be optimistic about our ability to take share in deposits based on our customer value proposition across all of our different businesses."
46,4Q23,Ebrahim H. Poonawala,"Analyst, Bank of America Merrill Lynch","Hey. Good morning. I guess maybe one question looking at your statement, and I think Jamie is quoted as saying as he sees the consumer as resilient and the market expecting a soft landing. I would love to hear – I'm not sure Jamie's on the call – but maybe, Jeremy, I would love to hear your thoughts around do you believe that the outlook for a soft landing has increased? Is the market pricing in correctly? Or when you look at your customer base, are you still worried about the lagged effects of the rate hikes? And maybe just taking that a step further, there has been concern around whether we see some of the CRE pain filter into multi-family apartments. You all have a pretty large multi-family exposure, high quality. But just give us a sense of, one, are you seeing any bleed-through of what we've seen in office in other areas of commercial real estate or any particular parts of C&I lending? Thank you. Got it. Thank you.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Right. Okay, Ebrahim. So, I think a lot of those things aren't actually mutually exclusive. So, statement one, I think it's uncontroversial that the economic outlook has evolved to include a significantly higher probability of a soft landing. That's, I think, the consensus at this point. So, whether you believe it or not is a separate issue, but I think that is the consensus. In terms of consumer resilience, I made some comments about this on the press call. The way we see it, the consumer is fine. All of the relevant metrics are now effectively normalized. And the question really, in light of the fact that cash buffers are now also normal, but that that means that consumers have been spending more than they're taking in, is how that spending behavior adjusts as we go into the new year in a world where their cash buffers are less comfortable than they were. So, one can speculate about different trajectories that that could take. But I do think it's important to take a step back and remind ourselves that consistent with that soft landing view, just in the central case modeling – obviously, we always worry about the tail scenarios – is a very strong labor market. And a very strong labor market means, all else equal, strong consumer credit. So, that's how we see the world. Yeah. So, good question on the multi-family, and the short answer is that, for us, it's pretty uncontroversially no – no bleed-through. And the reason is that while we are aware of some of the pressure on multi-family, that's in kind of different markets from the ones that we are actually big in. So, it's higher-end stuff in much less supply constrained markets that is under more pressure. And as you know, our multi-family portfolio is much more affordable, supply constrained markets. And so, the performance there remains really very robust."
47,4Q23,Erika Najarian,"Analyst, UBS Securities LLC","Hi. Good morning. My first question is a follow-up on Matt's with regarding the buyback. You printed 15% CET1 in the quarter. On a net basis, net of RWA growth, your net income produces 51 basis points every quarter. Again, that's net of RWA growth. I'm wondering what guideposts you're looking for, Jeremy, in terms of that buyback increasing from that $2 billion a quarter. Do we need to wait for Basel III finalization, which seems like it could be quite delayed? Or will having clarity in the June D-FAST results – you mentioned the SCB – sort of be enough that you could reconsider this pace over the medium term? Thanks. And just as a follow-up, the $90 billion in expenses for 2024, does that contemplate a significant increase or the comeback of investment banking that everybody seems to be expecting for 2024? Thank you.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Yeah. Erika, that's a good question. And I understand what you're asking – why you're asking it. I think the answer is going to be a little bit unsatisfying, which is that this is classic decision-making under uncertainty and it's kind of a probabilistic cloud of a variety of different factors. But, all the ingredients that you've listed are the right ingredients; right, very strong organic capital generation, uncertainty about the finalization of the rule, uncertainty about the SCB requirements, and obviously, our normal capital hierarchy, which is that buybacks are always at the bottom of the hierarchy after we're done using the capital for our other priorities. So, I think what I said previously stands, which is that we're sticking with the modest pace for now. But obviously, we have a lot of flexibility to adjust that whenever we want under the current regime, and we may well do that. A little bit of that is in there, yeah. So, you would see that. We often talk about the volume in revenue related category, and I think in my prepared remarks, you will have noted that I talked about a $1 billion increase in that category year-on-year as a result of an improved NIR outlook. So, the hope and expectation of a continued rebound in the investment banking wallet and our share of that is part of that."
48,4Q23,Mike Mayo,"Analyst, Wells Fargo Securities LLC","Hi. So, you're guiding to $90 billion of expenses, that's up $7 billion year-over-year. Seems like quite a big increase. And if you could just give some color on that. I know we've been through this before two years ago with the big increase in expenses and without a lot of visibility. So, if you could just upfront give us visibility, how much of that is due to incentive pay, how much is that due to tech, how much is that due to AI and what are the expected returns to get from that $7 billion pick-up? Thanks. Okay. I have a short follow-up. I'm still here. Yeah. Can you just talk about the impact of AI on your technology approach? And I know I’ve asked you this before and you said you're spending it, you're being careful, you want to see a return on your dollars. But how much difference can this make? How big is your tech budget last year? How much should it be this year? How much could AI make a difference? Just a little more meat on the tech bones. All right. Thank you.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Yeah. Mike, thanks for the question. And yeah – and of course, you will, as I noted, be hearing more from us at Investor Day and between now and Investor Day. But I will take a little bit of extra time here to answer your question, because you're right, it's important to give you the transparency. And I'm going to follow the structure that we used on the page and go through each line of business. So, starting with CCB, it's the biggest dollar driver overall. It's an 8% increase year-on-year, which is about the same as we had last year. One key driver is the branch strategy and the associated staff for that. In 2023, we built 166 new branches, and we're planning about a similar number this year. Marketing is also a driver. We're seeing great opportunities, great demand and engagement in our Card products. And so, that shows up in marketing. And as you well know, our wealth strategy in CCB remains a big focus and priority. I think it's worth noting here, right, that as we've talked about and as you know, Mike, some of our investments are designed to produce short-term payoffs and some of them are much longer-term and some of them are just table stakes. But we actually see quite a bit of evidence of current payoffs in our current results in the CCB investment. So, for example, in 2023, we had 2 million net new checking accounts. We had an 8% growth in active card accounts. And over the last three years, we've increased deposit market share by 180 basis points. So, as we've often said about the company as a whole, we're very happy to be producing very good current returns and growth while investing for the future. In AWM, continued client advisor hiring is a key driver, as well as making sure that both the advisors and all of their new clients have the support that they need. And a little bit to the prior question, in AWM, we also have a little bit of volume and revenue-related driver tied to an improved revenue outlook. The Commercial Bank is an interesting story in the sense that about half of it is the exit rate impact of ads that we did in the middle of the year based on market disruption and all the kind of new clients and new loans that we saw and the need to support that across the entire ecosystem. As well as the fact that that created an opportunity in the middle of the year to accelerate our longstanding and preexisting innovation economy strategy. So, we took some opportunities to onboard some key teams in different parts of the franchise. And then, as you look into 2024, it's really pretty consistent themes to the ones that we had before, including hiring bankers both domestically and internationally. The CIB story is a little bit different. The percentage growth there is lower, which recognizes, I think, both our very, very strong share positions as a starting point and also the fact that we've been investing quite aggressively for some time in the Payments business, which has produced meaningful payoffs already there in terms of significant share gains. So, as a result, the biggest driver in the CIB is really generic inflation, including labor as well as, again to the prior question, volume and revenue-related increases tied to the improved NIR outlook. And I do want to say for the avoidance of doubt that despite all of this, our core strategy of looking very granularly at all the areas of strength and weakness and making sure that we're upgrading where appropriate to have absolutely the best talent in the CIB remains fully in effect. Finally, you'll note that I haven't actually talked about technology in any of the businesses, and that's actually because even though all of the businesses in various ways are investing in technology and spending money on it, the drivers are actually very consistent across the entire firm, even though it's very bottoms-up driven. And those drivers are consistent with what they've been, new products, features and customer platforms, as well as modernization. So, that's happening throughout the company both at the app level and otherwise. And I will say actually in closing, talking about technology – which I think is interesting – that to the point about a driver being growth writ large, one of the things that we see is higher volume-related technology expense throughout the company. So, thanks for the question, Mike. It was a good opportunity to give you guys a bit more color here. Sure. Yeah, sure. So, let me address the AI point, and I think maybe I won't go into a lot of quantitative detail on this stuff and I'll save that for Investor Day, if you don't mind. But, I will address the AI point. So, as you may be aware, we actually have Teresa Heitsenrether now running the AI strategy for the company as a member of the Operating Committee, which I think is an indication of the priority that we place on this, and in partnership with Lori and all of the technology organization. So, I think that – I think of this as being a little bit barbelled, where on the one hand, we're very excited about this. There's clearly some very significant opportunities, not for nothing, starting with technology developers themselves in terms of the opportunity for significantly increased productivity there. At the same time, we're JPMorgan Chase. We're not going to be chasing shiny objects here in AI. We want to do this in an extremely disciplined way, it's very commercial and very linked to tangible outcomes. And so, the current focus is on making sure we have a contained, well-chosen list of high-impact use cases and that we're throwing resources at those in the right way, that's extremely pragmatic and disciplined, and we're holding ourselves accountable for actual results. Thanks, Mike."
49,4Q23,Gerard Cassidy,"Analyst, RBC Capital Markets LLC","Hi, Jeremy. How are you? Jeremy, coming back to your outlook and forecast for net interest income for the upcoming year with the six Fed fund rate cuts that you guys are assuming, can you give us a little insight why you're assuming six cuts? Is it your customers are telling you that their businesses are weaker or is it your just economic outlook, the forward curve? Can you give us something behind why you're assuming so many rate cuts? Okay, very good. And then, as a follow-up, obviously, you pointed out also in the outlook you're going to have some deposit attrition. You had some, of course, in 2023. Can you guys give us some insights on the impact QT is having on the deposit base for your organization? And second, are you surprised that QT hasn't been more disruptive to the liquidity in the markets? Great. Thank you.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Hey, Gerard. Yeah. Gerard, I wish the answer were more interesting, but it's just our practice. We just always use the forward curve for our outlook, and that's what's in there. Yeah. Good question, Gerard. I mean, I think you've heard Jamie talk about this a lot. QT is obviously a big focus and one of the complicating elements that we have in the current environment. I think that the math is the math in the sense that QT, all else equal, is withdrawing from system-wide deposits. In the last six months of this year, that's been offset, hopefully, by a reduction in the size of RRP. And so, that's been supportive of system-wide deposits. As we go into 2024, RRP is at lower levels, and so that may be a little bit less of a tailwind. But it's also the case, as you know, that there's – the market's expectation is that QT is going to start slowing down at some point this year. So – and we still have reasonable levels of reserves and some cushion from RRP. So, that's part of the reason that our outlook is for deposits to be modestly down, with the shrinkage in system-wide deposits maybe partially offset by our belief that we can take some share. But, also I think the second half of this year is going to be interesting to watch in terms of what the Fed does. Thanks, Gerard."
